date,signup_count
2026-04-14,31
2026-04-15,21
2026-04-16,34
2026-04-17,28
2026-04-18,23
2026-04-19,24
2026-04-20,22
2026-04-21,34
2026-04-22,66
2026-04-23,79
2026-04-24,69
2026-04-25,94
2026-04-26,88
2026-04-27,66
2026-04-28,67
2026-04-29,39
2026-04-30,51
2026-05-01,52
2026-05-02,47
2026-05-03,41
2026-05-04,37
2026-05-05,35
2026-05-06,25
2026-05-07,19
2026-05-08,26
2026-05-09,36
2026-05-10,68
2026-05-11,74
2026-05-12,78
2026-05-13,120
2026-05-14,84
2026-05-15,105
2026-05-16,99
2026-05-17,95
2026-05-18,92
2026-05-19,78
2026-05-20,66
2026-05-21,80
2026-05-22,63
2026-05-23,66
2026-05-24,68
2026-05-25,147
2026-05-26,149
2026-05-27,138
2026-05-28,142
2026-05-29,135
2026-05-30,149
2026-05-31,170
2026-06-01,104
2026-06-02,182
2026-06-03,165
2026-06-04,147
2026-06-05,42
2026-06-06,53
2026-06-07,64
