date,active_users
2026-04-14,938
2026-04-15,898
2026-04-16,901
2026-04-17,945
2026-04-18,913
2026-04-19,911
2026-04-20,912
2026-04-21,886
2026-04-22,940
2026-04-23,961
2026-04-24,942
2026-04-25,963
2026-04-26,991
2026-04-27,965
2026-04-28,965
2026-04-29,952
2026-04-30,908
2026-05-01,934
2026-05-02,911
2026-05-03,929
2026-05-04,906
2026-05-05,915
2026-05-06,864
2026-05-07,839
2026-05-08,859
2026-05-09,877
2026-05-10,926
2026-05-11,932
2026-05-12,970
2026-05-13,940
2026-05-14,976
2026-05-15,985
2026-05-16,950
2026-05-17,989
2026-05-18,985
2026-05-19,980
2026-05-20,988
2026-05-21,981
2026-05-22,943
2026-05-23,917
2026-05-24,943
2026-05-25,998
2026-05-26,1023
2026-05-27,1038
2026-05-28,1084
2026-05-29,1053
2026-05-30,1050
2026-05-31,1083
2026-06-01,1070
2026-06-02,1088
2026-06-03,1083
2026-06-04,1063
2026-06-05,1010
2026-06-06,1020
2026-06-07,1047
2026-06-08,1023
2026-06-09,1052
2026-06-10,1047
2026-06-11,1196
2026-06-12,1312
2026-06-13,1346
2026-06-14,1438
2026-06-15,1476
2026-06-16,1335
2026-06-17,1339
2026-06-18,1318
2026-06-19,1190
2026-06-20,1206
2026-06-21,1240
2026-06-22,1228
2026-06-23,1253
2026-06-24,1338
2026-06-25,1720
2026-06-26,1726
2026-06-27,1768
2026-06-28,1641
2026-06-29,1541
2026-06-30,1551
2026-07-01,1771
2026-07-02,1734
2026-07-03,1665
2026-07-04,1570
2026-07-05,1548
2026-07-06,1549
2026-07-07,1541
2026-07-08,1575
2026-07-09,2042
2026-07-10,2420
2026-07-11,2387
2026-07-12,2308
2026-07-13,2513
2026-07-14,1867
2026-07-15,1814
2026-07-16,2211
2026-07-17,2343
2026-07-18,2276
2026-07-19,2379
2026-07-20,2247
2026-07-21,2273
2026-07-22,2248
2026-07-23,2156
2026-07-24,2790
2026-07-25,2501
2026-07-26,2562
2026-07-27,2464
2026-07-28,2346
2026-07-29,2316
2026-07-30,2362
2026-07-31,2138
2026-08-01,1966
2026-08-02,1914
2026-08-03,2036
2026-08-04,2015
2026-08-05,2029
2026-08-06,2055
2026-08-07,1995
2026-08-08,2031
2026-08-09,2085
2026-08-10,2081
2026-08-11,6371
2026-08-12,4067
2026-08-13,2603
2026-08-17,2393
2026-08-14,2386
2026-08-15,2369
2026-08-16,2406
2026-08-18,2371
2026-08-24,2485
2026-08-25,2428
