date,active_users
2026-04-14,938
2026-04-15,898
2026-04-16,901
2026-04-17,945
2026-04-18,913
2026-04-19,911
2026-04-20,912
2026-04-21,886
2026-04-22,940
2026-04-23,961
2026-04-24,942
2026-04-25,963
2026-04-26,991
2026-04-27,965
2026-04-28,965
2026-04-29,952
2026-04-30,908
2026-05-01,934
2026-05-02,911
2026-05-03,929
2026-05-04,906
2026-05-05,915
2026-05-06,864
2026-05-07,839
2026-05-08,859
2026-05-09,877
2026-05-10,926
2026-05-11,932
2026-05-12,970
2026-05-13,940
2026-05-14,976
2026-05-15,985
2026-05-16,950
2026-05-17,989
2026-05-18,985
2026-05-19,980
2026-05-20,988
2026-05-21,981
2026-05-22,943
2026-05-23,917
2026-05-24,943
2026-05-25,998
2026-05-26,1023
2026-05-27,1038
2026-05-28,1084
2026-05-29,1053
2026-05-30,1050
2026-05-31,1083
2026-06-01,1070
2026-06-02,1088
2026-06-03,1083
2026-06-04,1063
