date,order_status,giftcard_status,order_count,point_amount_sum,purchase_amount_sum,sell_price_sum
2026-04-16,COMPLETED,USED,5,12500,11850,12000
2026-04-17,COMPLETED,USED,3,5200,4560,4700
2026-04-18,COMPLETED,USED,4,8000,7820,8000
2026-04-19,COMPLETED,USED,5,12500,11830,12000
2026-04-20,COMPLETED,USED,3,8500,7920,8000
2026-04-21,COMPLETED,USED,2,3000,2400,2500
2026-04-22,COMPLETED,USED,3,5000,3960,4000
2026-04-23,COMPLETED,USED,6,14500,12850,13200
2026-04-25,COMPLETED,USED,3,5000,3910,4000
2026-04-26,COMPLETED,USED,4,17000,16890,17000
2026-04-27,COMPLETED,USED,2,5000,4950,5000
2026-04-28,COMPLETED,USED,1,1500,990,1000
2026-04-29,COMPLETED,EXPIRED,1,1500,940,1000
2026-04-29,COMPLETED,USED,4,18000,16780,17000
2026-04-30,COMPLETED,EXPIRED,1,1800,1690,1800
2026-04-30,COMPLETED,USED,3,8000,7920,8000
2026-05-01,COMPLETED,USED,2,4500,3960,4000
2026-05-02,COMPLETED,USED,3,8500,7770,8000
2026-05-03,COMPLETED,USED,5,10100,9630,10100
2026-05-04,COMPLETED,USED,1,3000,2970,3000
2026-05-05,COMPLETED,USED,3,7000,6830,7000
2026-05-06,COMPLETED,ACTIVE,1,1800,1690,1800
2026-05-06,COMPLETED,USED,2,3500,2970,3000
2026-05-07,COMPLETED,USED,3,8000,7920,8000
2026-05-08,COMPLETED,USED,3,8000,7920,8000
2026-05-09,COMPLETED,USED,3,7000,6930,7000
2026-05-10,COMPLETED,USED,2,4500,3960,4000
2026-05-11,COMPLETED,USED,4,13800,13590,13800
2026-05-12,COMPLETED,ACTIVE,1,1800,1690,1800
2026-05-12,COMPLETED,USED,1,1800,1690,1800
2026-05-13,COMPLETED,USED,3,5300,4550,4800
2026-05-14,COMPLETED,USED,9,24500,23460,24000
2026-05-15,COMPLETED,USED,2,4500,3960,4000
2026-05-16,COMPLETED,USED,1,2000,1980,2000
2026-05-17,COMPLETED,USED,2,5000,4950,5000
2026-05-18,COMPLETED,USED,3,5500,4850,5000
2026-05-19,COMPLETED,USED,5,10900,10580,10900
2026-05-20,COMPLETED,USED,1,1700,1590,1700
2026-05-21,COMPLETED,ACTIVE,1,1500,940,1000
2026-05-21,COMPLETED,USED,5,12500,11880,12000
2026-05-22,COMPLETED,USED,3,6800,6640,6800
2026-05-23,COMPLETED,USED,7,14000,12770,13000
2026-05-24,COMPLETED,USED,4,8000,6930,7000
2026-05-25,COMPLETED,ACTIVE,1,1500,940,1000
2026-05-25,COMPLETED,USED,3,5500,4950,5000
2026-05-26,COMPLETED,USED,4,7800,7630,7800
2026-05-27,COMPLETED,ACTIVE,1,2000,1880,2000
2026-05-27,COMPLETED,USED,2,4500,4330,4500
2026-05-28,COMPLETED,USED,3,5500,4900,5000
